epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
94,300.75,1.29209,1.32819,1.46793,0.88102,0.62283,0.84114,0.59547,1.22779,1.73827,1.64441,0.000743317,0.000743317,0.000743317
95,304.274,1.20104,1.37716,1.3992,0.88102,0.62283,0.84114,0.59547,1.22779,1.73827,1.64441,0.00074092,0.00074092,0.00074092
96,307.758,1.27456,1.31961,1.29287,0.88102,0.62283,0.84114,0.59547,1.22779,1.73827,1.64441,0.000738286,0.000738286,0.000738286
97,311.342,1.45658,1.46567,1.5728,0.88102,0.62283,0.84114,0.59547,1.22779,1.73827,1.64441,0.000735418,0.000735418,0.000735418
98,314.542,1.17469,1.38626,2.02516,0.88102,0.62283,0.84114,0.59547,1.22779,1.73827,1.64441,0.000732317,0.000732317,0.000732317
99,318.14,1.23873,1.44195,1.56448,0.88102,0.62283,0.84114,0.59547,1.22779,1.73827,1.64441,0.000728986,0.000728986,0.000728986
100,321.341,1.31147,1.34372,1.96335,0.88102,0.62283,0.84114,0.59547,1.22779,1.73827,1.64441,0.000725428,0.000725428,0.000725428
101,324.527,1.30352,1.49277,1.37184,0.88102,0.62283,0.84114,0.59547,1.22779,1.73827,1.64441,0.000721645,0.000721645,0.000721645
102,328.372,1.01083,1.44086,1.20779,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.000710534,0.000710534,0.000710534
103,331.894,1.20021,1.11368,1.14663,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.000699426,0.000699426,0.000699426
104,335.141,1.08228,1.10825,1.99437,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.000688324,0.000688324,0.000688324
105,338.348,1.10772,1.13444,1.41599,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.00067723,0.00067723,0.00067723
106,341.515,1.18669,1.12081,1.43592,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.000666147,0.000666147,0.000666147
107,345.116,1.13775,1.12217,1.36661,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.000655077,0.000655077,0.000655077
108,348.273,1.13036,1.20203,1.42552,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.000644024,0.000644024,0.000644024
109,351.46,1.14563,1.18411,1.48112,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.00063299,0.00063299,0.00063299
110,354.713,1.23524,1.16734,1.50505,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.000621978,0.000621978,0.000621978
111,357.931,0.99362,1.17724,1.50504,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.00061099,0.00061099,0.00061099
112,361.944,1.10313,1.17953,1.07966,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.00060003,0.00060003,0.00060003
113,365.127,1.10974,1.15718,1.21034,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.0005891,0.0005891,0.0005891
114,368.681,0.95845,1.00057,1.08177,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.000578202,0.000578202,0.000578202
115,371.927,0.97331,1.06356,1.12047,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.00056734,0.00056734,0.00056734
116,375.116,1.0224,1.10018,1.94571,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.000556516,0.000556516,0.000556516
117,378.315,0.99182,1.16852,1.29876,0.86631,0.81548,0.88117,0.62,1.14234,1.05708,1.55595,0.000545733,0.000545733,0.000545733
118,381.965,1.02069,1.00644,1.53476,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.000534993,0.000534993,0.000534993
119,385.111,1.02038,1.06276,1.77006,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.000524299,0.000524299,0.000524299
120,388.318,0.93361,0.95071,1.3029,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.000513654,0.000513654,0.000513654
121,391.5,1.04973,1.00761,1.19882,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.00050306,0.00050306,0.00050306
122,395.563,1.00574,0.94218,1.26099,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.00049252,0.00049252,0.00049252
123,399.738,1.00884,0.97922,1.55081,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.000482037,0.000482037,0.000482037
124,402.923,0.90093,1.00599,1.02785,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.000471613,0.000471613,0.000471613
125,406.098,1.01616,0.98933,1.06982,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.00046125,0.00046125,0.00046125
126,409.28,1.05667,1.00143,1.1151,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.000450952,0.000450952,0.000450952
127,412.523,1.311,1.19271,1.35541,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.00044072,0.00044072,0.00044072
128,415.741,1.07715,1.09041,2.26143,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.000430558,0.000430558,0.000430558
129,419.142,1.03635,1.0058,1.66416,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.000420468,0.000420468,0.000420468
130,422.721,0.84747,0.92065,1.68855,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.000410452,0.000410452,0.000410452
131,425.897,1.11516,1.09004,1.68231,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.000400513,0.000400513,0.000400513
132,429.066,1.18072,1.12006,1.25681,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.000390653,0.000390653,0.000390653
133,432.636,1.59352,1.32448,1.91348,0.96498,0.86251,0.95789,0.66927,1.09709,0.91897,1.68711,0.000380874,0.000380874,0.000380874
134,435.858,0.98038,0.95865,0.93468,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.00037118,0.00037118,0.00037118
135,438.83,1.11449,1.09932,1.34351,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.000361572,0.000361572,0.000361572
136,441.706,0.88873,0.96243,1.21385,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.000352053,0.000352053,0.000352053
137,444.307,0.90818,0.90123,1.34031,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.000342625,0.000342625,0.000342625
138,447.032,0.98581,0.94279,1.29733,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.000333291,0.000333291,0.000333291
139,450.255,0.94898,1.0335,1.79008,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.000324053,0.000324053,0.000324053
140,453.288,1.11351,1.06831,1.13098,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.000314912,0.000314912,0.000314912
141,455.854,0.98381,1.02298,1.29592,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.000305872,0.000305872,0.000305872
142,458.492,0.94289,1.00785,1.04595,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.000296935,0.000296935,0.000296935
143,461.494,0.96746,1.02678,1.43278,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.000288102,0.000288102,0.000288102
144,464.098,0.95552,0.93677,1.4667,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.000279376,0.000279376,0.000279376
145,466.69,0.99534,1.05264,1.69603,0.96178,0.8631,0.93865,0.65084,1.12478,0.93118,1.7064,0.00027076,0.00027076,0.00027076
